dataset;alpha;random_state;KM_1;KM_2;baseline_dedpul;dedpul;e1_en;e3_en;em_en;random_dedpul
pageblock;0,75;4;0,020499999999999963;0,00770000000000004;0,02510000000000001;0,0023999999999999577;0,3084;0,007399999999999962;0,22440000000000004;0,060799999999999965
pageblock;0,75;5;0,021199999999999997;0,00770000000000004;0,02949999999999997;0,006800000000000028;0,2566;0,059799999999999964;0,2067;0,00660000000000005
pageblock;0,75;6;0,043200000000000016;0,049699999999999966;0,058499999999999996;0,03749999999999998;0,23450000000000004;0,06659999999999999;0,23929999999999996;0,006900000000000017
pageblock;0,75;7;0,06720000000000004;0,01419999999999999;0,010000000000000009;0,02300000000000002;0,2564;0,03510000000000002;0,18700000000000006;0,028200000000000003
pageblock;0,75;8;0,020499999999999963;0,00770000000000004;0,03290000000000004;0,0030999999999999917;0,2826;0,05589999999999995;0,09399999999999997;0,050899999999999945
pageblock;0,75;9;0,043200000000000016;0,049699999999999966;0,03049999999999997;0,0022999999999999687;0,2594;0,028699999999999948;0,21099999999999997;0,014499999999999957
pageblock;0,95;0;0,019899999999999918;0,013600000000000056;0,08989999999999998;0,008899999999999908;0,13069999999999993;0,1429999999999999;0,016199999999999992;0,008299999999999974
pageblock;0,95;1;0,019899999999999918;0,013600000000000056;0,12309999999999999;0,0031999999999999806;0,1352;0,12309999999999999;0,01550000000000007;0,005299999999999971
pageblock;0,95;2;0,019899999999999918;0,0040000000000000036;0,13029999999999997;0,0047999999999999154;0,14059999999999995;0,15389999999999993;0,017900000000000027;0,00539999999999996
pageblock;0,95;3;0,019899999999999918;0,0040000000000000036;0,05819999999999992;0,020199999999999996;0,1513;0,13169999999999993;0,019400000000000084;0,02399999999999991
pageblock;0,95;4;0,019899999999999918;0,013600000000000056;0,11299999999999999;0,007699999999999929;0,1449999999999999;0,14959999999999996;0,02510000000000001;0,014599999999999946
pageblock;0,95;5;0,019899999999999918;0,013600000000000056;0,0857;0,009000000000000008;0,13779999999999992;0,1431;0,021300000000000097;0,01319999999999999
pageblock;0,95;6;0,019899999999999918;0,013600000000000056;0,09019999999999995;0,008000000000000007;0,14359999999999995;0,1604;0,021600000000000064;0,0
pageblock;0,95;7;0,019899999999999918;0,013600000000000056;0,0925999999999999;0,00029999999999996696;0,13529999999999998;0,15579999999999994;0,028000000000000025;0,0040000000000000036
pageblock;0,95;8;0,019899999999999918;0,0040000000000000036;0,07129999999999992;0,014599999999999946;0,15399999999999991;0,11859999999999993;0,03160000000000007;0,01869999999999994
pageblock;0,95;9;0,019899999999999918;0,013600000000000056;0,06919999999999993;0,006400000000000072;0,1381;0,12819999999999998;0,02950000000000008;0,020199999999999996
shuttle;0,05;0;0,16909999999999997;0,05009999999999999;0,18419999999999997;0,004299999999999998;0,0431;0,079;0,0050000000000000044;0,0029
